ตาราง,ชื่อตาราง,ลำดับ,ฟิลด์,คำอธิบาย,"ระดับ M จำเป็น, R ควรมี, O เผื่อ"
A1,บุคลากร/นักวิจัย,1,researcher_id,รหัสนักวิจัยในระบบต้นทาง,M
A1,บุคลากร/นักวิจัย,2,employee_code,รหัสพนักงาน/บุคลากร มข.,M
A1,บุคลากร/นักวิจัย,3,email_kku,อีเมล @kku.ac.th,M
A1,บุคลากร/นักวิจัย,4,title_th,คำนำหน้าชื่อ,R
A1,บุคลากร/นักวิจัย,5,academic_title_th,ตำแหน่งทางวิชาการปัจจุบัน (อาจารย์/ผศ./รศ./ศ.),M
A1,บุคลากร/นักวิจัย,6,first_name_th,ชื่อ (ไทย),M
A1,บุคลากร/นักวิจัย,7,last_name_th,นามสกุล (ไทย),M
A1,บุคลากร/นักวิจัย,8,first_name_en,ชื่อ (อังกฤษ),R
A1,บุคลากร/นักวิจัย,9,last_name_en,นามสกุล (อังกฤษ),R
A1,บุคลากร/นักวิจัย,10,faculty_code,รหัสคณะ/หน่วยงานสังกัด,M
A1,บุคลากร/นักวิจัย,11,department_code,รหัสภาควิชา/สายวิชา,R
A1,บุคลากร/นักวิจัย,12,major_code,รหัสสาขาวิชาที่เชี่ยวชาญ,R
A1,บุคลากร/นักวิจัย,13,sub_major_code,รหัสอนุสาขาวิชา,O
A1,บุคลากร/นักวิจัย,14,employment_start_date,วันที่เริ่มปฏิบัติงาน YYYY-MM-DD,R
A1,บุคลากร/นักวิจัย,15,lecturer_appointed_date,วันที่แต่งตั้งเป็นอาจารย์ YYYY-MM-DD,R
A1,บุคลากร/นักวิจัย,16,asst_prof_appointed_date,วันที่แต่งตั้งเป็น ผศ. YYYY-MM-DD,R
A1,บุคลากร/นักวิจัย,17,assoc_prof_appointed_date,วันที่แต่งตั้งเป็น รศ. YYYY-MM-DD,R
A1,บุคลากร/นักวิจัย,18,birth_date,วันเดือนปีเกิด YYYY-MM-DD,O
A1,บุคลากร/นักวิจัย,19,scopus_author_id,Scopus Author ID,R
A1,บุคลากร/นักวิจัย,20,orcid,ORCID iD,R
A1,บุคลากร/นักวิจัย,21,wos_researcher_id,Web of Science ResearcherID,O
A1,บุคลากร/นักวิจัย,22,google_scholar_id,Google Scholar ID,O
A1,บุคลากร/นักวิจัย,23,employment_status,สถานะ (ปฏิบัติงาน/ลาศึกษา/ลาออก/เกษียณ),R
A1,บุคลากร/นักวิจัย,24,updated_at,วันเวลาแก้ไขล่าสุด ISO 8601,M
,,,,,
A2,คณะ/ภาควิชา/สาขาวิชา,1,org_code,รหัสหน่วยงาน,M
A2,คณะ/ภาควิชา/สาขาวิชา,2,org_name_th,ชื่อหน่วยงาน (ไทย),M
A2,คณะ/ภาควิชา/สาขาวิชา,3,org_name_en,ชื่อหน่วยงาน (อังกฤษ),O
A2,คณะ/ภาควิชา/สาขาวิชา,4,org_type,ระดับ (มหาวิทยาลัย/คณะ/ภาควิชา/สาขาวิชา/อนุสาขาวิชา),M
A2,คณะ/ภาควิชา/สาขาวิชา,5,parent_org_code,รหัสหน่วยงานต้นสังกัด,R
A2,คณะ/ภาควิชา/สาขาวิชา,6,is_active,ยังใช้งานอยู่ Y/N,R
,,,,,
B1,ทะเบียนผลงาน (ตารางหลัก),1,output_id,รหัสผลงาน,M
B1,ทะเบียนผลงาน (ตารางหลัก),2,output_type_code,รหัสประเภทผลงาน (ดู D1),M
B1,ทะเบียนผลงาน (ตารางหลัก),3,title_th,ชื่อผลงาน (ไทย),M ถ้าไม่มี title_en
B1,ทะเบียนผลงาน (ตารางหลัก),4,title_en,ชื่อผลงาน (อังกฤษ),M ถ้าไม่มี title_th
B1,ทะเบียนผลงาน (ตารางหลัก),5,publication_year_ce,ปีที่เผยแพร่ ค.ศ.,M
B1,ทะเบียนผลงาน (ตารางหลัก),6,publication_year_be,ปีที่เผยแพร่ พ.ศ.,M
B1,ทะเบียนผลงาน (ตารางหลัก),7,language,ภาษาของผลงาน th/en,R
B1,ทะเบียนผลงาน (ตารางหลัก),8,doi,DOI,R
B1,ทะเบียนผลงาน (ตารางหลัก),9,publication_status,เผยแพร่แล้ว/ตอบรับแล้วรอตีพิมพ์/อยู่ระหว่างพิจารณา,M
B1,ทะเบียนผลงาน (ตารางหลัก),10,accept_letter_date,วันที่ในหนังสือตอบรับตีพิมพ์ YYYY-MM-DD,R
B1,ทะเบียนผลงาน (ตารางหลัก),11,abstract,บทคัดย่อ,O
B1,ทะเบียนผลงาน (ตารางหลัก),12,keywords,คำสำคัญ คั่นด้วย ;,O
B1,ทะเบียนผลงาน (ตารางหลัก),13,owner_researcher_id,รหัสนักวิจัยเจ้าของรายการ (เชื่อม A1),M
B1,ทะเบียนผลงาน (ตารางหลัก),14,full_text_url,ลิงก์ผลงานฉบับเต็ม,R
B1,ทะเบียนผลงาน (ตารางหลัก),15,file_available,มีไฟล์ PDF ในระบบต้นทาง Y/N,R
B1,ทะเบียนผลงาน (ตารางหลัก),16,created_at,วันเวลาบันทึกครั้งแรก,R
B1,ทะเบียนผลงาน (ตารางหลัก),17,updated_at,วันเวลาแก้ไขล่าสุด,M
,,,,,
B2,ผู้ร่วมงานและลักษณะการมีส่วนร่วม,1,output_id,รหัสผลงาน (เชื่อม B1),M
